Region ,CharterApplicationId ,Year ,CouncilNumber ,SequenceNumber ,Timestamp  ,DateSubmitted ,PmpOverallPoints ,PmpOverallLevel ,LevelOrdeal2021YouthFinal ,LevelOrdeal2021YoungAdultFinal ,LevelOrdeal2021AdultFinal ,LevelBrotherhood2021YouthFinal ,LevelBrotherhood2021YoungAdultFinal ,LevelBrotherhood2021AdultFinal ,LevelVigil2021YouthFinal ,LevelVigil2021YoungAdultFinal ,LevelVigil2021AdultFinal ,InductedOrdeal2021YouthFinal ,InductedOrdeal2021AdultFinal ,InductedBrotherhood2021YouthFinal ,InductedBrotherhood2021AdultFinal ,InductedVigil2021YouthFinal ,InductedVigil2021AdultFinal ,ElectedCurrent2021YouthFinal ,ElectedCurrent2021AdultFinal ,ElectedPrevious2021YouthFinal ,ElectedPrevious2021AdultFinal ,UnitCount2021Final ,Item1ElectionsConducted2021 ,Item1ElectionsNoEligibleScouts2021 ,Item1VisitsConducted2021 ,Item3ActivatedYouth2021 ,Item8CapitalContributionsCash ,Item8CapitalContributionsMaterial ,Item8EndowmentContributions ,Item8FosContributions ,Item9ServiceHours2021
G      ,                3018 ,2021 ,          609 ,             1 ,10/14/2021 ,10/14/2021    ,              23 ,High Performing ,                      185 ,                            22 ,                       37 ,                            47 ,                                 16 ,                            82 ,                       1 ,                           15 ,                      95 ,                         182 ,                          15 ,                               28 ,                               10 ,                         11 ,                          6 ,                         182 ,                          13 ,                            0 ,                            0 ,               197 ,                        176 ,                                95 ,                      81 ,                     61 ,0.00                          ,"2,610.90"                        ,"2,000.00"                  ,0.00                  ,                 2520
G      ,                3020 ,2021 ,          567 ,             1 ,11/8/2021  ,11/7/2021     ,               5 ,None            ,                       10 ,                             3 ,                       10 ,                            10 ,                                  3 ,                            15 ,                       0 ,                            1 ,                      16 ,                           5 ,                           0 ,                                2 ,                                0 ,                          0 ,                          0 ,                           9 ,                           1 ,                            3 ,                            2 ,                24 ,                          2 ,                                 0 ,                       2 ,                      0 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                  300
G      ,                3022 ,2021 ,          480 ,             1 ,11/17/2021 ,11/16/2021    ,              20 ,Thriving        ,                      130 ,                            22 ,                       79 ,                            72 ,                                 23 ,                           103 ,                       5 ,                           12 ,                      96 ,                         110 ,                          33 ,                               50 ,                               24 ,                          5 ,                          3 ,                         116 ,                          26 ,                            0 ,                            0 ,               142 ,                        112 ,                                42 ,                      96 ,                     19 ,0.00                          ,0.00                              ,0.00                        ,"4,000.00"            ,                 4389
G      ,                3025 ,2021 ,           62 ,             1 ,11/20/2021 ,11/19/2021    ,              16 ,Thriving        ,                       91 ,                            11 ,                       31 ,                            12 ,                                  7 ,                            31 ,                       0 ,                            2 ,                      42 ,                          66 ,                           9 ,                               10 ,                                6 ,                          1 ,                          3 ,                          59 ,                           5 ,                            0 ,                            0 ,               116 ,                         13 ,                                 1 ,                      13 ,                      3 ,0.00                          ,0.00                              ,"2,000.00"                  ,0.00                  ,                  661
G      ,                3026 ,2021 ,          296 ,             1 ,11/21/2021 ,11/20/2021    ,              23 ,High Performing ,                       70 ,                             2 ,                       17 ,                            36 ,                                 12 ,                            32 ,                       1 ,                            5 ,                      42 ,                          65 ,                           8 ,                               30 ,                               10 ,                          2 ,                          2 ,                          86 ,                          13 ,                            0 ,                            0 ,                60 ,                         58 ,                                32 ,                      26 ,                     25 ,"1,000.00"                    ,0.00                              ,0.00                        ,550.00                ,                 2211
G      ,                3027 ,2021 ,           60 ,             1 ,11/22/2021 ,11/21/2021    ,              17 ,Thriving        ,                       96 ,                            10 ,                       23 ,                            57 ,                                 14 ,                            79 ,                       2 ,                            8 ,                      46 ,                          71 ,                          11 ,                               33 ,                               11 ,                          4 ,                          3 ,                          81 ,                          12 ,                            0 ,                            0 ,                62 ,                         42 ,                                13 ,                      30 ,                     17 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                 2005
G      ,                3029 ,2021 ,          117 ,             1 ,11/24/2021 ,11/23/2021    ,              20 ,Thriving        ,                       46 ,                            11 ,                       24 ,                            28 ,                                 17 ,                            28 ,                       1 ,                            4 ,                      47 ,                          21 ,                           4 ,                               18 ,                                1 ,                          0 ,                          0 ,                          28 ,                           5 ,                           11 ,                            1 ,                52 ,                         35 ,                                 7 ,                      29 ,                     13 ,0.00                          ,675.00                            ,"1,000.00"                  ,"1,200.00"            ,                 1039
G      ,                3032 ,2021 ,          121 ,             1 ,11/30/2021 ,11/29/2021    ,              19 ,Thriving        ,                       61 ,                             8 ,                       17 ,                            36 ,                                 19 ,                            50 ,                       0 ,                           11 ,                      58 ,                          28 ,                           5 ,                               17 ,                                7 ,                          2 ,                          2 ,                          30 ,                           5 ,                            0 ,                            0 ,                31 ,                         25 ,                                12 ,                      13 ,                     16 ,0.00                          ,"2,306.00"                        ,0.00                        ,"2,000.00"            ,                  340
G      ,                3037 ,2021 ,          469 ,             1 ,12/1/2021  ,12/1/2021     ,              20 ,Thriving        ,                       22 ,                             0 ,                       11 ,                            26 ,                                 18 ,                            25 ,                       5 ,                            4 ,                      42 ,                          12 ,                           5 ,                               15 ,                                4 ,                          3 ,                          3 ,                          11 ,                           3 ,                            0 ,                            0 ,                26 ,                         18 ,                                 4 ,                      12 ,                      3 ,"2,500.00"                    ,0.00                              ,0.00                        ,0.00                  ,                 5315
G      ,                3040 ,2021 ,          138 ,             1 ,12/2/2021  ,12/2/2021     ,              16 ,Thriving        ,                      123 ,                            11 ,                       28 ,                            38 ,                                 16 ,                            89 ,                       0 ,                           12 ,                      79 ,                          94 ,                          10 ,                               22 ,                                9 ,                          7 ,                          2 ,                         108 ,                          18 ,                            0 ,                            0 ,               100 ,                         98 ,                                46 ,                      52 ,                      7 ,0.00                          ,0.00                              ,0.00                        ,"1,580.00"            ,                 1983
G      ,                3042 ,2021 ,          492 ,             1 ,12/2/2021  ,12/1/2021     ,              17 ,Thriving        ,                      335 ,                            82 ,                      150 ,                           117 ,                                 67 ,                           243 ,                       4 ,                           16 ,                     218 ,                         210 ,                          44 ,                               51 ,                               20 ,                         10 ,                         12 ,                         197 ,                          37 ,                           50 ,                            6 ,               248 ,                        182 ,                                60 ,                     121 ,                     60 ,0.00                          ,"4,000.00"                        ,"2,000.00"                  ,0.00                  ,                 4892
G      ,                3051 ,2021 ,           39 ,             1 ,12/6/2021  ,12/6/2021     ,              16 ,Thriving        ,                      223 ,                            10 ,                       43 ,                           128 ,                                 36 ,                           125 ,                       5 ,                           17 ,                     130 ,                         134 ,                          13 ,                               59 ,                               17 ,                          6 ,                          5 ,                         250 ,                          16 ,                            0 ,                            0 ,               199 ,                        148 ,                                72 ,                      97 ,                     83 ,0.00                          ,0.00                              ,"1,000.00"                  ,0.00                  ,                18749
G      ,                3053 ,2021 ,          311 ,             1 ,12/7/2021  ,12/7/2021     ,              20 ,Thriving        ,                       32 ,                             0 ,                       15 ,                            24 ,                                  5 ,                            22 ,                       0 ,                            0 ,                       1 ,                          20 ,                           2 ,                               16 ,                                0 ,                          0 ,                          0 ,                          14 ,                           4 ,                            5 ,                            0 ,                67 ,                          7 ,                                 0 ,                       0 ,                      2 ,0.00                          ,0.00                              ,"5,000.00"                  ,15.00                 ,                  658
G      ,                3054 ,2021 ,          329 ,             1 ,12/7/2021  ,12/6/2021     ,              22 ,High Performing ,                       28 ,                             2 ,                       12 ,                            25 ,                                 10 ,                            20 ,                       0 ,                            3 ,                      25 ,                          22 ,                           6 ,                               14 ,                                3 ,                          0 ,                          0 ,                          44 ,                          10 ,                            0 ,                            0 ,                54 ,                         33 ,                                 5 ,                      31 ,                     11 ,0.00                          ,0.00                              ,"2,000.00"                  ,"1,000.00"            ,                  392
G      ,                3057 ,2021 ,           33 ,             1 ,12/8/2021  ,12/8/2021     ,              15 ,Thriving        ,                      100 ,                            20 ,                       18 ,                            47 ,                                 24 ,                            51 ,                       0 ,                            7 ,                      70 ,                          49 ,                           7 ,                               14 ,                                3 ,                          1 ,                          2 ,                          89 ,                          11 ,                            0 ,                            0 ,               219 ,                         64 ,                                38 ,                      37 ,                     26 ,"20,000.00"                   ,300.00                            ,"2,000.00"                  ,"10,000.00"           ,                 3680
