Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,2648,2019,412,1,12/28/2019 ,12/28/2019    ,17,Thriving        ,"13,000.00                   ",0.00                              ,0.00                        ,"5,500.00            ",117.0,8.0,46.0,64.0,16.0,63.0,1.0,8.0,84.0,66.0,18.0,25.0,6.0,5.0,4.0,95.0,20.0,0.0,0.0,156.0,141.0,12.0,150.0,11.0,4889.0,13E,Yah-Tah-Hey-Si-Kess                          ,407.0,0.9807692307692307,84.0,115.0,0.7304347826086957,0.13095238095238096,171.0,143.0,93.0,182.0,32.0,193.0
G      ,1540,2019,413,1,12/11/2019 ,12/10/2019    ,17,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",600.00                ,23.0,3.0,12.0,7.0,3.0,18.0,0.0,1.0,14.0,18.0,6.0,5.0,2.0,1.0,1.0,17.0,7.0,0.0,0.0,22.0,9.0,17.0,9.0,6.0,794.0,13E,Kwahadi                                      ,81.0,1.1818181818181819,24.0,24.0,1.0,0.25,38.0,28.0,15.0,30.0,7.0,44.0
G      ,2557,2019,573,1,12/17/2019 ,12/16/2019    ,18,Thriving        ,"1,000.00                    ","8,000.00                        ","1,000.00                  ","1,000.00            ",68.0,7.0,23.0,36.0,35.0,71.0,4.0,9.0,98.0,29.0,5.0,16.0,5.0,4.0,5.0,40.0,7.0,9.0,0.0,75.0,67.0,35.0,42.0,22.0,13545.0,13E,Gila                                         ,351.0,1.36,34.0,56.0,0.6071428571428571,0.6470588235294118,98.0,142.0,111.0,108.0,51.0,192.0
G      ,2969,2020,573,1,12/31/2020 ,12/30/2020    ,12,None            ,0.00                          ,"2,000.00                        ","1,000.00                  ","1,000.00            ",74.0,15.0,26.0,25.0,30.0,78.0,3.0,8.0,94.0,23.0,6.0,6.0,5.0,2.0,6.0,45.0,13.0,11.0,2.0,36.0,21.0,15.0,36.0,6.0,2954.0,13E,Gila                                         ,353.0,1.0,29.0,71.0,0.4084507042253521,0.20689655172413793,115.0,133.0,105.0,102.0,53.0,198.0
G      ,2796,2020,413,1,12/12/2020 ,12/11/2020    ,15,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",24.0,4.0,12.0,5.0,4.0,15.0,0.0,1.0,14.0,8.0,1.0,0.0,0.0,1.0,1.0,10.0,2.0,2.0,1.0,17.0,8.0,12.0,12.0,2.0,104.0,13E,Kwahadi                                      ,79.0,1.1764705882352942,9.0,15.0,0.6,0.2222222222222222,40.0,24.0,15.0,29.0,9.0,41.0
G      ,2928,2020,412,1,12/28/2020 ,12/28/2020    ,15,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"2,650.00            ",100.0,6.0,44.0,36.0,13.0,48.0,2.0,9.0,73.0,31.0,11.0,5.0,1.0,5.0,2.0,37.0,12.0,0.0,0.0,69.0,62.0,7.0,13.0,8.0,1693.0,13E,Yah-Tah-Hey-Si-Kess                          ,331.0,1.0,42.0,49.0,0.8571428571428571,0.19047619047619047,150.0,97.0,84.0,138.0,28.0,165.0
G      ,3113,2021,412,1,12/16/2021 ,12/15/2021    ,21,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"7,750.00            ",78.0,10.0,32.0,37.0,23.0,52.0,0.0,4.0,74.0,45.0,11.0,22.0,11.0,1.0,2.0,73.0,17.0,0.0,0.0,72.0,72.0,49.0,33.0,28.0,1942.0,13E,Yah-Tah-Hey-Si-Kess                          ,310.0,1.6805555555555556,56.0,90.0,0.6222222222222222,0.5,120.0,112.0,78.0,115.0,37.0,158.0
G      ,3095,2021,413,1,12/14/2021 ,12/13/2021    ,9,None            ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",13.0,3.0,10.0,4.0,4.0,14.0,0.0,0.0,14.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,15.0,13.0,9.0,13.0,0.0,372.0,13E,Kwahadi                                      ,62.0,1.4666666666666666,4.0,8.0,0.5,0.0,26.0,22.0,14.0,17.0,7.0,38.0
G      ,3234,2021,573,1,12/30/2021 ,12/30/2021    ,15,Thriving        ,0.00                          ,"4,500.00                        ","2,000.00                  ",0.00                  ,53.0,22.0,35.0,36.0,24.0,79.0,3.0,7.0,96.0,24.0,7.0,24.0,2.0,4.0,5.0,22.0,8.0,15.0,7.0,42.0,10.0,15.0,42.0,24.0,2865.0,13E,Gila                                         ,355.0,0.5952380952380952,31.0,52.0,0.5961538461538461,0.7741935483870968,110.0,139.0,106.0,92.0,53.0,210.0
G      ,3291,2022,573,1,12/3/2022  ,12/3/2022     ,15,None            ,"3,129.00                    ",0.00                              ,"1,000.00                  ",0.00                  ,24.0,2.0,12.0,20.0,10.0,22.0,1.0,8.0,57.0,15.0,9.0,12.0,6.0,3.0,4.0,24.0,10.0,4.0,0.0,36.0,21.0,6.0,21.0,24.0,1464.0,13E,Gila                                         ,156.0,0.75,24.0,38.0,0.631578947368421,1.0,38.0,52.0,66.0,45.0,20.0,91.0
