Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,2637,2019,47,1,12/26/2019 ,12/25/2019    ,8,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,208.0,20.0,57.0,103.0,36.0,137.0,1.0,16.0,76.0,154.0,19.0,38.0,25.0,6.0,4.0,269.0,27.0,0.0,0.0,330.0,192.0,59.0,133.0,21.0,13446.0,17N,Amangi Nacha                                 ,654.0,0.7606060606060606,173.0,296.0,0.5844594594594594,0.12138728323699421,285.0,276.0,93.0,312.0,72.0,270.0
G      ,2627,2019,329,1,12/24/2019 ,12/23/2019    ,15,None            ,400.00                        ,0.00                              ,"2,000.00                  ","1,500.00            ",24.0,5.0,12.0,22.0,9.0,32.0,2.0,1.0,24.0,15.0,4.0,7.0,11.0,1.0,1.0,23.0,6.0,0.0,0.0,138.0,14.0,2.0,18.0,8.0,1033.0,17N,Tannu                                        ,131.0,0.11594202898550725,19.0,29.0,0.6551724137931034,0.42105263157894735,41.0,63.0,27.0,48.0,15.0,68.0
G      ,2653,2019,23,1,12/29/2019 ,12/28/2019    ,8,None            ,0.00                          ,600.00                            ,0.00                        ,"2,300.00            ",163.0,15.0,47.0,57.0,17.0,57.0,0.0,8.0,47.0,111.0,17.0,22.0,6.0,0.0,0.0,167.0,19.0,0.0,0.0,185.0,53.0,0.0,56.0,31.0,3987.0,17N,Yerba Buena                                  ,411.0,0.2864864864864865,128.0,186.0,0.6881720430107527,0.2421875,225.0,131.0,55.0,220.0,40.0,151.0
G      ,2638,2019,35,1,12/27/2019 ,12/26/2019    ,17,Thriving        ,"1,050.00                    ",14.00                             ,0.00                        ,0.00                  ,40.0,10.0,4.0,20.0,8.0,5.0,0.0,2.0,17.0,30.0,1.0,10.0,1.0,1.0,1.0,33.0,1.0,0.0,0.0,25.0,11.0,0.0,11.0,0.0,1550.0,17N,Talako                                       ,106.0,0.44,31.0,34.0,0.9117647058823529,0.0,54.0,33.0,19.0,60.0,20.0,26.0
G      ,2698,2019,41,1,1/1/2020   ,12/31/2019    ,19,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,29.0,3.0,6.0,12.0,11.0,21.0,1.0,8.0,30.0,26.0,1.0,5.0,2.0,0.0,0.0,56.0,2.0,0.0,0.0,52.0,26.0,9.0,26.0,15.0,2146.0,17N,Orca                                         ,121.0,0.6730769230769231,27.0,58.0,0.46551724137931033,0.5555555555555556,38.0,44.0,39.0,42.0,22.0,57.0
G      ,2772,2020,329,1,12/7/2020  ,12/6/2020     ,16,Thriving        ,0.00                          ,0.00                              ,"2,000.00                  ","1,400.00            ",34.0,2.0,12.0,19.0,6.0,21.0,1.0,3.0,23.0,33.0,5.0,6.0,1.0,1.0,1.0,65.0,6.0,0.0,0.0,59.0,25.0,0.0,39.0,20.0,482.0,17N,Tannu                                        ,121.0,0.423728813559322,38.0,71.0,0.5352112676056338,0.5263157894736842,48.0,46.0,27.0,54.0,11.0,56.0
G      ,2882,2020,41,1,12/22/2020 ,12/21/2020    ,14,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,31.0,5.0,10.0,6.0,4.0,18.0,0.0,4.0,28.0,25.0,7.0,2.0,1.0,0.0,0.0,36.0,7.0,0.0,0.0,33.0,17.0,7.0,29.0,16.0,1402.0,17N,Orca                                         ,106.0,0.7272727272727273,32.0,43.0,0.7441860465116279,0.5,46.0,28.0,32.0,37.0,13.0,56.0
G      ,2883,2020,47,1,12/22/2020 ,12/21/2020    ,5,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,173.0,17.0,54.0,52.0,23.0,110.0,0.0,7.0,73.0,85.0,14.0,0.0,0.0,0.0,0.0,242.0,23.0,0.0,0.0,184.0,94.0,27.0,68.0,16.0,7010.0,17N,Amangi Nacha                                 ,509.0,0.657608695652174,99.0,265.0,0.37358490566037733,0.16161616161616163,244.0,185.0,80.0,225.0,47.0,237.0
G      ,2956,2020,35,1,12/31/2020 ,12/30/2020    ,17,Thriving        ,602.00                        ,0.00                              ,0.00                        ,0.00                  ,25.0,4.0,4.0,19.0,11.0,5.0,0.0,0.0,18.0,14.0,1.0,7.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,21.0,11.0,3.0,11.0,11.0,438.0,17N,Talako                                       ,86.0,0.6666666666666666,15.0,17.0,0.8823529411764706,0.7333333333333333,33.0,35.0,18.0,44.0,15.0,27.0
G      ,2936,2020,23,1,12/30/2020 ,12/29/2020    ,8,None            ,0.00                          ,0.00                              ,"3,350.00                  ",0.00                  ,90.0,11.0,37.0,23.0,15.0,50.0,2.0,8.0,45.0,16.0,3.0,0.0,0.0,6.0,2.0,122.0,11.0,0.0,0.0,145.0,29.0,0.0,30.0,6.0,273.0,17N,Yerba Buena                                  ,281.0,0.2,19.0,133.0,0.14285714285714285,0.3157894736842105,138.0,88.0,55.0,115.0,34.0,132.0
