Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,2562,2019,59,1,12/18/2019 ,12/18/2019    ,11,None            ,0.00                          ,0.00                              ,0.00                        ,"2,000.00            ",33.0,7.0,20.0,20.0,7.0,36.0,0.0,5.0,34.0,20.0,8.0,12.0,3.0,1.0,1.0,23.0,9.0,4.0,0.0,102.0,6.0,0.0,6.0,5.0,2370.0,17S,Toloma                                       ,162.0,0.058823529411764705,28.0,32.0,0.875,0.17857142857142858,60.0,63.0,39.0,53.0,19.0,90.0
G      ,2718,2019,55,1,1/3/2020   ,1/2/2020      ,12,None            ,0.00                          ,0.00                              ,"3,900.00                  ",0.00                  ,173.0,25.0,47.0,41.0,17.0,55.0,1.0,8.0,51.0,139.0,22.0,26.0,13.0,3.0,3.0,245.0,32.0,0.0,0.0,230.0,56.0,106.0,56.0,10.0,7204.0,17S,Saklan                                       ,418.0,0.7043478260869566,161.0,277.0,0.5812274368231047,0.062111801242236024,245.0,113.0,60.0,215.0,50.0,153.0
G      ,2697,2019,31,1,1/1/2020   ,1/1/2020      ,17,Thriving        ,0.00                          ,"2,503.00                        ",0.00                        ,0.00                  ,159.0,19.0,34.0,41.0,11.0,45.0,2.0,3.0,38.0,84.0,6.0,23.0,3.0,0.0,0.0,117.0,6.0,14.0,2.0,107.0,107.0,84.0,23.0,22.0,2500.0,17S,Ohlone                                       ,352.0,1.7850467289719627,90.0,123.0,0.7317073170731707,0.24444444444444444,212.0,97.0,43.0,202.0,33.0,117.0
G      ,2670,2019,27,1,12/31/2019 ,12/30/2019    ,6,None            ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,36.0,5.0,19.0,6.0,2.0,16.0,1.0,4.0,48.0,16.0,3.0,0.0,0.0,0.0,0.0,55.0,10.0,0.0,0.0,104.0,40.0,15.0,40.0,0.0,5000.0,17S,Tah-Heetch                                   ,137.0,0.5288461538461539,19.0,65.0,0.2923076923076923,0.0,60.0,24.0,53.0,43.0,11.0,83.0
G      ,2672,2019,42,1,12/31/2019 ,12/30/2019    ,15,None            ,231.00                        ,"1,000.00                        ",0.00                        ,0.00                  ,12.0,3.0,3.0,18.0,5.0,18.0,0.0,1.0,17.0,4.0,1.0,11.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,10.0,6.0,1.0,6.0,1.0,455.0,17S,Hungteetsepoppi                              ,77.0,0.7,5.0,16.0,0.3125,0.2,18.0,41.0,18.0,30.0,9.0,38.0
G      ,2930,2020,42,1,12/29/2020 ,12/28/2020    ,10,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,14.0,1.0,5.0,16.0,4.0,14.0,0.0,1.0,17.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,266.0,17S,Hungteetsepoppi                              ,72.0,0.0,14.0,0.0,inf,0.7857142857142857,20.0,34.0,18.0,30.0,6.0,36.0
G      ,2937,2020,27,1,12/30/2020 ,12/29/2020    ,8,None            ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,37.0,7.0,14.0,2.0,4.0,15.0,0.0,2.0,42.0,13.0,1.0,0.0,0.0,0.0,0.0,43.0,8.0,33.0,6.0,68.0,34.0,18.0,34.0,0.0,750.0,17S,Tah-Heetch                                   ,123.0,0.7647058823529411,14.0,51.0,0.27450980392156865,0.0,58.0,21.0,44.0,39.0,13.0,71.0
G      ,2910,2020,31,1,12/25/2020 ,12/24/2020    ,8,None            ,0.00                          ,0.00                              ,0.00                        ,"2,000.00            ",69.0,6.0,14.0,15.0,4.0,24.0,0.0,2.0,22.0,36.0,5.0,1.0,0.0,0.0,0.0,89.0,8.0,39.0,0.0,77.0,77.0,54.0,23.0,3.0,1102.0,17S,Ohlone                                       ,156.0,1.7012987012987013,41.0,97.0,0.422680412371134,0.07317073170731707,89.0,43.0,24.0,84.0,12.0,60.0
G      ,2833,2020,55,1,12/17/2020 ,12/16/2020    ,5,None            ,0.00                          ,0.00                              ,0.00                        ,"2,700.00            ",148.0,16.0,39.0,24.0,18.0,48.0,0.0,4.0,41.0,101.0,14.0,15.0,6.0,0.0,0.0,226.0,17.0,0.0,0.0,195.0,120.0,25.0,18.0,30.0,1278.0,17S,Saklan                                       ,338.0,0.7435897435897436,115.0,243.0,0.4732510288065844,0.2608695652173913,203.0,90.0,45.0,172.0,38.0,128.0
G      ,2859,2020,59,1,12/19/2020 ,12/19/2020    ,10,None            ,"1,399.00                    ",0.00                              ,"1,000.00                  ","1,000.00            ",31.0,8.0,19.0,15.0,3.0,25.0,2.0,2.0,33.0,14.0,6.0,5.0,2.0,2.0,2.0,29.0,8.0,0.0,0.0,58.0,10.0,0.0,10.0,9.0,522.0,17S,Toloma                                       ,138.0,0.1724137931034483,20.0,37.0,0.5405405405405406,0.45,58.0,43.0,37.0,48.0,13.0,77.0
