Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,2710,2019,576,1,1/1/2020   ,12/31/2019    ,9,None            ,0.00                          ,"16,000.00                       ","4,000.00                  ",0.00                  ,883.0,134.0,378.0,343.0,119.0,453.0,14.0,16.0,228.0,650.0,146.0,168.0,36.0,15.0,14.0,1203.0,235.0,0.0,0.0,540.0,270.0,0.0,300.0,69.0,21000.0,2,Colonneh                                     ,2568.0,0.5,796.0,1438.0,0.5535465924895688,0.08668341708542714,1395.0,915.0,258.0,1240.0,269.0,1059.0
G      ,2721,2019,577,1,1/3/2020   ,1/2/2020      ,16,Thriving        ,"26,716.00                   ","99,707.00                       ","2,000.00                  ",0.00                  ,140.0,41.0,66.0,55.0,14.0,61.0,3.0,11.0,90.0,70.0,14.0,22.0,5.0,4.0,4.0,92.0,18.0,0.0,0.0,83.0,45.0,26.0,45.0,16.0,3479.0,2,Karankawa                                    ,481.0,0.8554216867469879,84.0,110.0,0.7636363636363637,0.19047619047619047,247.0,130.0,104.0,198.0,66.0,217.0
G      ,1542,2019,583,1,12/12/2019 ,12/12/2019    ,6,None            ,0.00                          ,"1,500.00                        ","2,000.00                  ","2,500.00            ",254.0,26.0,104.0,45.0,16.0,91.0,5.0,16.0,81.0,189.0,41.0,25.0,14.0,7.0,6.0,270.0,66.0,0.0,0.0,197.0,51.0,108.0,51.0,8.0,4696.0,2,Aina Topa Hutsi                              ,638.0,0.8071065989847716,230.0,336.0,0.6845238095238095,0.034782608695652174,384.0,152.0,102.0,304.0,58.0,276.0
G      ,2628,2019,578,1,12/24/2019 ,12/23/2019    ,11,None            ,0.00                          ,800.00                            ,"1,000.00                  ","1,000.00            ",43.0,8.0,24.0,17.0,10.0,21.0,3.0,0.0,45.0,19.0,6.0,11.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,53.0,18.0,5.0,18.0,5.0,1089.0,2,Hasinai                                      ,171.0,0.4339622641509434,25.0,1.0,25.0,0.2,75.0,48.0,48.0,63.0,18.0,90.0
G      ,1531,2019,564,1,12/9/2019  ,12/8/2019     ,7,None            ,"5,000.00                    ","8,000.00                        ","2,000.00                  ","3,000.00            ",536.0,99.0,260.0,221.0,79.0,284.0,9.0,20.0,162.0,260.0,62.0,114.0,56.0,8.0,8.0,373.0,91.0,10.0,3.0,231.0,79.0,40.0,80.0,25.0,7436.0,2,Tonkawa                                      ,1670.0,0.5151515151515151,322.0,477.0,0.6750524109014675,0.07763975155279502,895.0,584.0,191.0,766.0,198.0,706.0
G      ,2717,2019,775,1,1/2/2020   ,1/1/2020      ,17,Thriving        ,"12,848.00                   ","2,848.00                        ","2,000.00                  ",0.00                  ,61.0,5.0,11.0,31.0,13.0,41.0,0.0,4.0,36.0,41.0,2.0,13.0,8.0,2.0,3.0,51.0,1.0,0.0,0.0,52.0,52.0,10.0,0.0,11.0,4319.0,2,Wewanoma                                     ,202.0,1.1923076923076923,43.0,52.0,0.8269230769230769,0.2558139534883721,77.0,85.0,40.0,92.0,22.0,88.0
G      ,2737,2019,567,1,1/9/2020   ,1/8/2020      ,18,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"6,000.00            ",51.0,5.0,25.0,21.0,4.0,22.0,0.0,1.0,24.0,14.0,6.0,6.0,2.0,0.0,2.0,12.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,3.0,0.0,2,Tatanka                                      ,153.0,0.0,20.0,15.0,1.3333333333333333,0.15,81.0,47.0,25.0,72.0,10.0,71.0
G      ,2709,2019,574,1,1/1/2020   ,1/1/2020      ,7,None            ,"1,500.00                    ",0.00                              ,0.00                        ,0.00                  ,101.0,12.0,41.0,21.0,6.0,62.0,2.0,2.0,30.0,59.0,13.0,7.0,6.0,3.0,2.0,103.0,13.0,0.0,0.0,65.0,52.0,32.0,0.0,7.0,1609.0,2,Wihinipa Hinsa                               ,277.0,1.2923076923076924,72.0,116.0,0.6206896551724138,0.09722222222222222,154.0,89.0,34.0,124.0,20.0,133.0
G      ,2723,2019,741,1,1/3/2020   ,1/3/2020      ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,950.00                ,24.0,1.0,19.0,11.0,10.0,21.0,0.0,1.0,30.0,9.0,3.0,0.0,1.0,0.0,1.0,10.0,4.0,0.0,0.0,17.0,10.0,6.0,10.0,0.0,356.0,2,Wahinkto                                     ,117.0,0.9411764705882353,12.0,14.0,0.8571428571428571,0.0,44.0,42.0,31.0,35.0,12.0,70.0
G      ,3005,2020,567,1,1/6/2021   ,1/5/2021      ,3,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,34.0,3.0,20.0,14.0,3.0,16.0,0.0,2.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,150.0,2,Tatanka                                      ,111.0,0.0,0.0,0.0,,inf,57.0,33.0,21.0,48.0,8.0,55.0
