Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3395,2022,412,1,12/21/2022 ,12/20/2022    ,24,High Performing ,0.00                          ,0.00                              ,0.00                        ,"33,380.00           ",68.0,12.0,27.0,42.0,24.0,55.0,1.0,6.0,63.0,35.0,7.0,22.0,10.0,4.0,2.0,42.0,6.0,0.0,0.0,64.0,59.0,32.0,27.0,27.0,2032.0,13E,Yah-Tah-Hey-Si-Kess                          
G      ,3704,2023,412,1,12/28/2023 ,12/27/2023    ,20,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"7,500.00            ",61.0,7.0,18.0,33.0,19.0,53.0,0.0,7.0,57.0,35.0,8.0,17.0,6.0,2.0,2.0,43.0,12.0,0.0,0.0,65.0,65.0,37.0,28.0,22.0,1572.0,13E,Yah-Tah-Hey-Si-Kess                          
G      ,2648,2019,412,1,12/28/2019 ,12/28/2019    ,17,Thriving        ,"13,000.00                   ",0.00                              ,0.00                        ,"5,500.00            ",117.0,8.0,46.0,64.0,16.0,63.0,1.0,8.0,84.0,66.0,18.0,25.0,6.0,5.0,4.0,95.0,20.0,0.0,0.0,156.0,141.0,12.0,150.0,11.0,4889.0,13E,Yah-Tah-Hey-Si-Kess                          
G      ,2928,2020,412,1,12/28/2020 ,12/28/2020    ,15,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"2,650.00            ",100.0,6.0,44.0,36.0,13.0,48.0,2.0,9.0,73.0,31.0,11.0,5.0,1.0,5.0,2.0,37.0,12.0,0.0,0.0,69.0,62.0,7.0,13.0,8.0,1693.0,13E,Yah-Tah-Hey-Si-Kess                          
G      ,3113,2021,412,1,12/16/2021 ,12/15/2021    ,21,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"7,750.00            ",78.0,10.0,32.0,37.0,23.0,52.0,0.0,4.0,74.0,45.0,11.0,22.0,11.0,1.0,2.0,73.0,17.0,0.0,0.0,72.0,72.0,49.0,33.0,28.0,1942.0,13E,Yah-Tah-Hey-Si-Kess                          
G      ,1540,2019,413,1,12/11/2019 ,12/10/2019    ,17,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",600.00                ,23.0,3.0,12.0,7.0,3.0,18.0,0.0,1.0,14.0,18.0,6.0,5.0,2.0,1.0,1.0,17.0,7.0,0.0,0.0,22.0,9.0,17.0,9.0,6.0,794.0,13E,Kwahadi                                      
G      ,3344,2022,413,1,12/15/2022 ,12/14/2022    ,21,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",9.0,2.0,11.0,6.0,4.0,12.0,0.0,1.0,12.0,6.0,1.0,6.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,14.0,10.0,6.0,11.0,3.0,301.0,13E,Kwahadi                                      
G      ,3095,2021,413,1,12/14/2021 ,12/13/2021    ,9,None            ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",13.0,3.0,10.0,4.0,4.0,14.0,0.0,0.0,14.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,15.0,13.0,9.0,13.0,0.0,372.0,13E,Kwahadi                                      
G      ,2796,2020,413,1,12/12/2020 ,12/11/2020    ,15,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",24.0,4.0,12.0,5.0,4.0,15.0,0.0,1.0,14.0,8.0,1.0,0.0,0.0,1.0,1.0,10.0,2.0,2.0,1.0,17.0,8.0,12.0,12.0,2.0,104.0,13E,Kwahadi                                      
G      ,3619,2023,413,1,12/18/2023 ,12/18/2023    ,15,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ","4,784.00            ",9.0,7.0,7.0,7.0,4.0,16.0,0.0,0.0,14.0,8.0,1.0,6.0,3.0,0.0,2.0,18.0,2.0,1.0,0.0,15.0,4.0,12.0,14.0,0.0,508.0,13E,Kwahadi                                      
G      ,3291,2022,573,1,12/3/2022  ,12/3/2022     ,15,None            ,"3,129.00                    ",0.00                              ,"1,000.00                  ",0.00                  ,24.0,2.0,12.0,20.0,10.0,22.0,1.0,8.0,57.0,15.0,9.0,12.0,6.0,3.0,4.0,24.0,10.0,4.0,0.0,36.0,21.0,6.0,21.0,24.0,1464.0,13E,Gila                                         
G      ,2557,2019,573,1,12/17/2019 ,12/16/2019    ,18,Thriving        ,"1,000.00                    ","8,000.00                        ","1,000.00                  ","1,000.00            ",68.0,7.0,23.0,36.0,35.0,71.0,4.0,9.0,98.0,29.0,5.0,16.0,5.0,4.0,5.0,40.0,7.0,9.0,0.0,75.0,67.0,35.0,42.0,22.0,13545.0,13E,Gila                                         
G      ,3644,2023,573,1,12/20/2023 ,12/20/2023    ,12,None            ,0.00                          ,"1,500.00                        ","1,000.00                  ",0.00                  ,29.0,2.0,6.0,18.0,4.0,21.0,1.0,4.0,46.0,16.0,0.0,6.0,4.0,1.0,2.0,19.0,6.0,1.0,1.0,42.0,30.0,6.0,30.0,1.0,1257.0,13E,Gila                                         
G      ,2969,2020,573,1,12/31/2020 ,12/30/2020    ,12,None            ,0.00                          ,"2,000.00                        ","1,000.00                  ","1,000.00            ",74.0,15.0,26.0,25.0,30.0,78.0,3.0,8.0,94.0,23.0,6.0,6.0,5.0,2.0,6.0,45.0,13.0,11.0,2.0,36.0,21.0,15.0,36.0,6.0,2954.0,13E,Gila                                         
