Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3215,2021,10,1,12/29/2021 ,12/28/2021    ,12,None            ,"30,000.00                   ",0.00                              ,0.00                        ,0.00                  ,178.0,37.0,77.0,97.0,30.0,138.0,1.0,25.0,170.0,105.0,33.0,49.0,19.0,12.0,12.0,161.0,35.0,0.0,0.0,187.0,46.0,1.0,46.0,22.0,3845.0,13W,Wipala Wiki                                  
G      ,2769,2020,10,1,12/4/2020  ,12/3/2020     ,14,Thriving        ,"56,000.00                   ",0.00                              ,"100,000.00                ",0.00                  ,308.0,55.0,98.0,107.0,39.0,168.0,2.0,20.0,193.0,134.0,21.0,48.0,21.0,6.0,6.0,147.0,31.0,0.0,0.0,182.0,48.0,0.0,48.0,102.0,4584.0,13W,Wipala Wiki                                  
G      ,2669,2019,10,1,12/31/2019 ,12/31/2019    ,6,None            ,"1,000.00                    ",0.00                              ,0.00                        ,"5,000.00            ",338.0,56.0,132.0,154.0,52.0,227.0,6.0,25.0,228.0,211.0,47.0,83.0,28.0,12.0,16.0,321.0,72.0,0.0,0.0,841.0,0.0,417.0,0.0,24.0,3216.0,13W,Wipala Wiki                                  
G      ,3563,2023,10,1,12/5/2023  ,12/4/2023     ,15,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,225.0,38.0,62.0,123.0,40.0,131.0,1.0,11.0,149.0,166.0,26.0,71.0,20.0,5.0,4.0,177.0,33.0,0.0,0.0,172.0,59.0,3.0,56.0,27.0,4239.0,13W,Wipala Wiki                                  
G      ,3362,2022,10,1,12/18/2022 ,12/17/2022    ,14,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,221.0,28.0,76.0,108.0,35.0,138.0,2.0,12.0,162.0,184.0,32.0,63.0,18.0,5.0,5.0,255.0,41.0,0.0,0.0,177.0,80.0,10.0,71.0,28.0,4595.0,13W,Wipala Wiki                                  
G      ,2543,2019,11,1,12/16/2019 ,12/16/2019    ,8,None            ,0.00                          ,"3,200.00                        ",0.00                        ,0.00                  ,70.0,10.0,25.0,25.0,12.0,62.0,3.0,6.0,57.0,48.0,7.0,17.0,5.0,2.0,2.0,89.0,12.0,0.0,0.0,131.0,26.0,0.0,30.0,10.0,969.0,13W,Papago                                       
G      ,3257,2021,11,1,1/6/2022   ,1/5/2022      ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,250.00            ",65.0,6.0,14.0,12.0,4.0,26.0,0.0,3.0,41.0,48.0,7.0,10.0,5.0,1.0,3.0,55.0,5.0,0.0,0.0,59.0,32.0,15.0,18.0,1.0,588.0,13W,Papago                                       
G      ,3506,2022,11,1,1/3/2023   ,1/3/2023      ,8,None            ,0.00                          ,100.00                            ,0.00                        ,0.00                  ,38.0,5.0,21.0,19.0,3.0,32.0,1.0,0.0,39.0,31.0,9.0,12.0,3.0,0.0,0.0,43.0,14.0,0.0,0.0,53.0,33.0,20.0,13.0,0.0,517.0,13W,Papago                                       
G      ,2974,2020,11,1,1/1/2021   ,1/1/2021      ,3,None            ,0.00                          ,550.00                            ,"1,000.00                  ",0.00                  ,39.0,4.0,9.0,7.0,3.0,33.0,2.0,2.0,48.0,22.0,1.0,0.0,0.0,0.0,0.0,114.0,1.0,18.0,2.0,65.0,10.0,20.0,2.0,2.0,315.0,13W,Papago                                       
G      ,3646,2023,11,1,12/21/2023 ,12/20/2023    ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,38.0,8.0,22.0,28.0,7.0,32.0,1.0,1.0,33.0,36.0,7.0,19.0,5.0,1.0,1.0,70.0,12.0,0.0,0.0,52.0,48.0,24.0,24.0,6.0,1155.0,13W,Papago                                       
G      ,3552,2023,49,1,11/30/2023 ,11/29/2023    ,9,None            ,"15,000.00                   ",0.00                              ,0.00                        ,355.00                ,89.0,12.0,32.0,15.0,17.0,36.0,1.0,3.0,62.0,64.0,6.0,2.0,2.0,3.0,4.0,96.0,9.0,2.0,0.0,132.0,65.0,35.0,30.0,2.0,1488.0,13W,Tiwahe                                       
G      ,3165,2021,49,1,12/22/2021 ,12/22/2021    ,10,None            ,0.00                          ,0.00                              ,0.00                        ,"4,102.00            ",157.0,46.0,80.0,56.0,22.0,108.0,1.0,19.0,98.0,47.0,13.0,15.0,3.0,6.0,6.0,88.0,18.0,0.0,0.0,151.0,16.0,10.0,11.0,8.0,2295.0,13W,Tiwahe                                       
G      ,2552,2019,49,1,12/17/2019 ,12/16/2019    ,16,Thriving        ,"10,000.00                   ","7,500.00                        ","1,000.00                  ","4,000.00            ",242.0,15.0,109.0,85.0,20.0,136.0,5.0,22.0,88.0,173.0,40.0,38.0,17.0,14.0,0.0,290.0,56.0,0.0,0.0,255.0,236.0,24.0,240.0,23.0,5100.0,13W,Tiwahe                                       
