Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3555,2023,606,1,11/30/2023 ,11/30/2023    ,22,High Performing ,0.00                          ,"2,100.00                        ",0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Sikhs Mox Lamonti                            
G      ,3325,2022,606,1,12/13/2022 ,12/13/2022    ,18,Thriving        ,"5,000.00                    ","1,080.00                        ",0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Sikhs Mox Lamonti                            
G      ,3244,2021,606,1,12/31/2021 ,12/31/2021    ,8,None            ,500.00                        ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Sikhs Mox Lamonti                            
G      ,2594,2019,606,1,12/20/2019 ,12/19/2019    ,9,None            ,"2,737.00                    ",0.00                              ,0.00                        ,0.00                  ,101.0,6.0,32.0,40.0,17.0,40.0,1.0,7.0,58.0,60.0,6.0,19.0,4.0,3.0,3.0,111.0,9.0,0.0,0.0,140.0,52.0,12.0,40.0,14.0,6662.0,15,Sikhs Mox Lamonti                            
G      ,2952,2020,606,1,12/30/2020 ,12/29/2020    ,6,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Sikhs Mox Lamonti                            
G      ,2711,2019,609,1,1/1/2020   ,12/31/2019    ,4,None            ,650.00                        ,0.00                              ,"1,000.00                  ",0.00                  ,273.0,25.0,46.0,81.0,24.0,100.0,4.0,12.0,102.0,144.0,14.0,36.0,7.0,9.0,3.0,283.0,26.0,0.0,0.0,311.0,46.0,0.0,0.0,24.0,1702.0,15,T'Kope Kwiskwis                              
G      ,3279,2022,609,1,10/10/2022 ,10/9/2022     ,23,High Performing ,0.00                          ,"2,486.97                        ","2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,T'Kope Kwiskwis                              
G      ,2993,2020,609,1,1/1/2021   ,1/1/2021      ,3,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,T'Kope Kwiskwis                              
G      ,3018,2021,609,1,10/14/2021 ,10/14/2021    ,23,High Performing ,0.00                          ,"2,610.90                        ","2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,T'Kope Kwiskwis                              
G      ,3535,2023,609,1,7/3/2023   ,7/3/2023      ,18,Thriving        ,0.00                          ,"1,860.45                        ","3,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,T'Kope Kwiskwis                              
G      ,3440,2022,610,1,12/27/2022 ,12/26/2022    ,25,High Performing ,0.00                          ,0.00                              ,"2,000.00                  ","3,475.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nanuk                                        
G      ,2712,2019,610,1,1/1/2020   ,1/1/2020      ,10,None            ,0.00                          ,0.00                              ,"1,000.00                  ","1,000.00            ",76.0,4.0,17.0,13.0,6.0,24.0,0.0,2.0,32.0,39.0,0.0,5.0,1.0,0.0,2.0,54.0,2.0,17.0,1.0,78.0,70.0,10.0,70.0,7.0,3000.0,15,Nanuk                                        
G      ,3192,2021,610,1,12/24/2021 ,12/24/2021    ,16,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nanuk                                        
G      ,3694,2023,610,1,12/27/2023 ,12/27/2023    ,11,None            ,"6,000.00                    ",0.00                              ,"1,000.00                  ","1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nanuk                                        
G      ,2868,2020,610,1,12/20/2020 ,12/20/2020    ,4,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Nanuk                                        
G      ,3724,2023,612,1,12/29/2023 ,12/28/2023    ,10,None            ,"4,000.00                    ",600.00                            ,"2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,15,Nisqually                                    
G      ,3160,2021,612,1,12/21/2021 ,12/20/2021    ,23,High Performing ,"4,500.00                    ","1,500.00                        ","2,000.00                  ","1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nisqually                                    
G      ,2879,2020,612,1,12/21/2020 ,12/20/2020    ,11,None            ,"4,000.00                    ",0.00                              ,"2,000.00                  ","2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nisqually                                    
G      ,3374,2022,612,1,12/19/2022 ,12/18/2022    ,17,Thriving        ,"6,000.00                    ",850.00                            ,"2,000.00                  ","1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Nisqually                                    
G      ,2581,2019,612,1,12/19/2019 ,12/18/2019    ,16,Thriving        ,"4,000.00                    ","4,300.00                        ","2,000.00                  ","1,000.00            ",138.0,10.0,53.0,36.0,13.0,63.0,3.0,8.0,47.0,91.0,26.0,14.0,8.0,4.0,4.0,155.0,29.0,0.0,0.0,186.0,168.0,49.0,168.0,19.0,5643.0,15,Nisqually                                    
G      ,2819,2020,696,1,12/15/2020 ,12/14/2020    ,20,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,250.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Toontuk                                      
G      ,3780,2023,696,1,1/20/2024  ,1/20/2024     ,23,High Performing ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Toontuk                                      
G      ,1505,2019,696,1,10/2/2019  ,10/1/2019     ,16,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,15.0,1.0,9.0,6.0,3.0,11.0,1.0,2.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,22.0,20.0,0.0,0.0,4.0,302.0,15,Toontuk                                      
G      ,3222,2021,696,1,12/29/2021 ,12/28/2021    ,18,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,250.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Toontuk                                      
G      ,3487,2022,696,1,12/30/2022 ,12/29/2022    ,12,None            ,0.00                          ,0.00                              ,0.00                        ,"1,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,15,Toontuk                                      
