Region ,CharterApplicationId ,Year ,CouncilNumber ,SequenceNumber ,Timestamp  ,DateSubmitted ,PmpOverallPoints ,PmpOverallLevel ,Item8CapitalContributionsCash  ,Item8CapitalContributionsMaterial  ,Item8EndowmentContributions  ,Item8FosContributions  ,LevelOrdealYouthFinal ,LevelOrdealYoungAdultFinal ,LevelOrdealAdultFinal ,LevelBrotherhoodYouthFinal ,LevelBrotherhoodYoungAdultFinal ,LevelBrotherhoodAdultFinal ,LevelVigilYouthFinal ,LevelVigilYoungAdultFinal ,LevelVigilAdultFinal ,InductedOrdealYouthFinal ,InductedOrdealAdultFinal ,InductedBrotherhoodYouthFinal ,InductedBrotherhoodAdultFinal ,InductedVigilYouthFinal ,InductedVigilAdultFinal ,ElectedCurrentYouthFinal ,ElectedCurrentAdultFinal ,ElectedPreviousYouthFinal ,ElectedPreviousAdultFinal ,UnitCountFinal ,Item1ElectionsConducted ,Item1ElectionsNoEligibleScouts ,Item1VisitsConducted ,Item3ActivatedYouth ,Item9ServiceHours ,Section ,CouncilName
G      ,                3584 ,2023 ,          215 ,             1 ,12/12/2023 ,12/12/2023    ,              20 ,Thriving        ,0.00                           ,0.00                               ,"1,000.00                  " ,"1,825.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Caddo
G      ,                3297 ,2022 ,          215 ,             1 ,12/5/2022  ,12/4/2022     ,              18 ,Thriving        ,0.00                           ,904.00                             ,"1,000.00                  " ,"1,803.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Caddo
G      ,                3090 ,2021 ,          215 ,             1 ,12/14/2021 ,12/13/2021    ,              25 ,High Performing ,"4,090.00                    " ,419.00                             ,0.00                         ,"1,828.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Caddo
G      ,                2567 ,2019 ,          215 ,             1 ,12/18/2019 ,12/17/2019    ,              16 ,Thriving        ,0.00                           ,125.00                             ,0.00                         ,0.00                   ,                 45.0 ,                      15.0 ,                 32.0 ,                      25.0 ,                            7.0 ,                      58.0 ,                 0.0 ,                      6.0 ,                67.0 ,                    23.0 ,                     7.0 ,                         12.0 ,                          5.0 ,                    1.0 ,                    2.0 ,                    44.0 ,                    12.0 ,                      0.0 ,                      0.0 ,          49.0 ,                   30.0 ,                          11.0 ,                30.0 ,               14.0 ,           1145.0 ,      3 ,Caddo
G      ,                2835 ,2020 ,          215 ,             1 ,12/17/2020 ,12/17/2020    ,              18 ,Thriving        ,0.00                           ,"2,325.00                        " ,0.00                         ,0.00                   ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Caddo
G      ,                3763 ,2023 ,          561 ,             1 ,1/3/2024   ,1/2/2024      ,              14 ,Thriving        ,500.00                         ,"5,000.00                        " ,"1,000.00                  " ,"1,000.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Penateka
G      ,                2999 ,2020 ,          561 ,             1 ,1/3/2021   ,1/2/2021      ,              20 ,Thriving        ,0.00                           ,800.00                             ,"1,000.00                  " ,"1,300.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Penateka
G      ,                2636 ,2019 ,          561 ,             1 ,12/25/2019 ,12/24/2019    ,              13 ,None            ,"1,250.00                    " ,0.00                               ,"1,000.00                  " ,0.00                   ,                 34.0 ,                       1.0 ,                 23.0 ,                      23.0 ,                            4.0 ,                      36.0 ,                 1.0 ,                      1.0 ,                29.0 ,                    30.0 ,                    11.0 ,                          6.0 ,                          2.0 ,                    0.0 ,                    0.0 ,                    38.0 ,                    11.0 ,                      0.0 ,                      0.0 ,          35.0 ,                   18.0 ,                          10.0 ,                18.0 ,               10.0 ,           2028.0 ,      3 ,Penateka
G      ,                3515 ,2022 ,          561 ,             1 ,1/5/2023   ,1/4/2023      ,              18 ,Thriving        ,0.00                           ,500.00                             ,"1,000.00                  " ,"1,000.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Penateka
G      ,                3259 ,2021 ,          561 ,             1 ,1/6/2022   ,1/4/2022      ,              21 ,Thriving        ,"1,000.00                    " ,"2,400.00                        " ,"1,000.00                  " ,"1,000.00            " ,                      ,                           ,                      ,                           ,                                ,                           ,                     ,                          ,                     ,                         ,                         ,                              ,                              ,                        ,                        ,                         ,                         ,                          ,                          ,               ,                        ,                               ,                     ,                    ,                  ,      3 ,Penateka
