Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,3283,2022,62,1,11/28/2022 ,11/28/2022    ,6,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,79.0,9.0,33.0,22.0,8.0,48.0,0.0,2.0,52.0,56.0,9.0,14.0,4.0,1.0,3.0,105.0,11.0,0.0,0.0,108.0,17.0,6.0,11.0,2.0,526.0,12N,Kola                                         ,253.0,0.21296296296296297,65.0,116.0,0.5603448275862069,0.03076923076923077,121.0,78.0,54.0,101.0,19.0,133.0
G      ,2763,2020,62,1,12/2/2020  ,12/2/2020     ,6,None            ,"1,250.00                    ",0.00                              ,"2,000.00                  ",0.00                  ,63.0,3.0,24.0,7.0,12.0,28.0,1.0,2.0,49.0,23.0,5.0,0.0,0.0,2.0,2.0,101.0,18.0,0.0,0.0,103.0,32.0,0.0,32.0,0.0,78.0,12N,Kola                                         ,189.0,0.3106796116504854,28.0,119.0,0.23529411764705882,0.0,90.0,47.0,52.0,71.0,17.0,101.0
G      ,3025,2021,62,1,11/20/2021 ,11/19/2021    ,16,Thriving        ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,91.0,11.0,31.0,12.0,7.0,31.0,0.0,2.0,42.0,66.0,9.0,10.0,6.0,1.0,3.0,59.0,5.0,0.0,0.0,116.0,13.0,1.0,13.0,3.0,661.0,12N,Kola                                         ,227.0,0.1206896551724138,75.0,64.0,1.171875,0.04,133.0,50.0,44.0,103.0,20.0,104.0
G      ,3538,2023,62,1,11/11/2023 ,11/10/2023    ,10,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,104.0,9.0,31.0,29.0,10.0,54.0,0.0,1.0,51.0,62.0,13.0,18.0,11.0,0.0,3.0,116.0,12.0,0.0,0.0,110.0,31.0,3.0,28.0,4.0,1206.0,12N,Kola                                         ,289.0,0.3090909090909091,75.0,128.0,0.5859375,0.05333333333333334,144.0,93.0,52.0,133.0,20.0,136.0
G      ,1510,2019,62,1,11/14/2019 ,11/13/2019    ,7,None            ,"1,600.00                    ","2,500.00                        ","2,000.00                  ",0.00                  ,92.0,7.0,31.0,19.0,7.0,38.0,0.0,6.0,52.0,77.0,10.0,7.0,7.0,4.0,3.0,116.0,17.0,0.0,0.0,167.0,41.0,0.0,42.0,7.0,1800.0,12N,Kola                                         ,252.0,0.24550898203592814,87.0,133.0,0.6541353383458647,0.08045977011494253,130.0,64.0,58.0,111.0,20.0,121.0
G      ,1536,2019,315,1,12/10/2019 ,12/9/2019     ,16,Thriving        ,"2,500.00                    ","3,000.00                        ",0.00                        ,"1,000.00            ",54.0,4.0,26.0,21.0,15.0,43.0,1.0,2.0,30.0,45.0,6.0,6.0,6.0,2.0,2.0,45.0,6.0,0.0,0.0,180.0,85.0,20.0,40.0,10.0,3036.0,12N,Apoxky Aio                                   ,196.0,0.5833333333333334,51.0,51.0,1.0,0.19607843137254902,84.0,79.0,33.0,76.0,21.0,99.0
G      ,3436,2022,315,1,12/27/2022 ,12/26/2022    ,14,Thriving        ,650.00                        ,"2,500.00                        ",0.00                        ,"1,000.00            ",62.0,5.0,20.0,15.0,8.0,35.0,0.0,1.0,32.0,43.0,5.0,7.0,2.0,0.0,3.0,42.0,5.0,0.0,0.0,86.0,60.0,10.0,40.0,6.0,1361.0,12N,Apoxky Aio                                   ,178.0,0.813953488372093,48.0,47.0,1.0212765957446808,0.125,87.0,58.0,33.0,77.0,14.0,87.0
G      ,2908,2020,315,1,12/24/2020 ,12/23/2020    ,12,None            ,"1,500.00                    ","1,500.00                        ",0.00                        ,"1,000.00            ",37.0,6.0,25.0,8.0,10.0,32.0,0.0,1.0,24.0,29.0,9.0,4.0,0.0,0.0,0.0,32.0,9.0,0.0,0.0,89.0,70.0,15.0,35.0,0.0,1332.0,12N,Apoxky Aio                                   ,143.0,0.9550561797752809,38.0,41.0,0.926829268292683,0.0,68.0,50.0,25.0,45.0,17.0,81.0
G      ,3074,2021,315,1,12/11/2021 ,12/10/2021    ,18,Thriving        ,"2,000.00                    ","1,000.00                        ",0.00                        ,"1,000.00            ",60.0,10.0,28.0,13.0,7.0,34.0,0.0,2.0,21.0,49.0,9.0,7.0,5.0,1.0,0.0,40.0,7.0,0.0,0.0,88.0,65.0,12.0,35.0,1.0,1440.0,12N,Apoxky Aio                                   ,175.0,0.875,58.0,47.0,1.2340425531914894,0.017241379310344827,98.0,54.0,23.0,73.0,19.0,83.0
G      ,3596,2023,315,1,12/14/2023 ,12/14/2023    ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",84.0,9.0,30.0,24.0,14.0,55.0,0.0,3.0,47.0,56.0,11.0,16.0,4.0,1.0,2.0,61.0,11.0,0.0,0.0,78.0,33.0,0.0,33.0,14.0,632.0,12N,Apoxky Aio                                   ,266.0,0.4230769230769231,67.0,72.0,0.9305555555555556,0.208955223880597,123.0,93.0,50.0,108.0,26.0,132.0
