Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,LodgeName,TotalMembers,ElectionRate,InductedOrdealTotal,ElectedTotal,InductionRate,ActivationRate,LevelOrdealTotal,LevelBrotherhoodTotal,LevelVigilTotal,LevelYouthTotal,LevelYoungAdultTotal,LevelAdultTotal
G      ,3271,2021,106,2,1/15/2022  ,1/14/2022     ,17,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,60.0,2.0,14.0,6.0,5.0,17.0,1.0,3.0,32.0,50.0,7.0,3.0,0.0,1.0,1.0,48.0,6.0,17.0,2.0,65.0,34.0,6.0,61.0,18.0,780.0,14,Tukarica                                     ,140.0,0.6153846153846154,57.0,54.0,1.0555555555555556,0.3157894736842105,76.0,28.0,36.0,67.0,10.0,63.0
G      ,1528,2019,106,1,12/8/2019  ,12/7/2019     ,10,None            ,250.00                        ,0.00                              ,"1,000.00                  ","1,350.00            ",47.0,6.0,21.0,26.0,5.0,35.0,5.0,3.0,52.0,39.0,4.0,17.0,5.0,4.0,1.0,16.0,2.0,16.0,0.0,298.0,120.0,1.0,120.0,0.0,1060.0,14,Tukarica                                     ,200.0,0.40604026845637586,43.0,18.0,2.388888888888889,0.0,74.0,66.0,60.0,78.0,14.0,108.0
G      ,2885,2020,106,1,12/22/2020 ,12/21/2020    ,9,None            ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,28.0,2.0,12.0,14.0,4.0,27.0,2.0,3.0,38.0,18.0,1.0,8.0,2.0,1.0,1.0,18.0,1.0,0.0,0.0,74.0,6.0,0.0,6.0,0.0,48.0,14,Tukarica                                     ,130.0,0.08108108108108109,19.0,19.0,1.0,0.0,42.0,45.0,43.0,44.0,9.0,77.0
G      ,3559,2023,106,1,12/3/2023  ,12/2/2023     ,16,Thriving        ,"1,000.00                    ",0.00                              ,0.00                        ,0.00                  ,78.0,6.0,40.0,15.0,4.0,29.0,1.0,1.0,42.0,41.0,8.0,7.0,4.0,0.0,1.0,78.0,8.0,33.0,2.0,59.0,35.0,7.0,59.0,24.0,1506.0,14,Tukarica                                     ,216.0,0.711864406779661,49.0,86.0,0.5697674418604651,0.4897959183673469,124.0,48.0,44.0,94.0,11.0,111.0
G      ,3462,2022,106,1,12/29/2022 ,12/29/2022    ,18,Thriving        ,0.00                          ,400.00                            ,"1,000.00                  ",400.00                ,75.0,7.0,33.0,10.0,3.0,27.0,1.0,3.0,38.0,26.0,14.0,5.0,1.0,2.0,1.0,44.0,21.0,15.0,2.0,55.0,31.0,11.0,61.0,17.0,1234.0,14,Tukarica                                     ,197.0,0.7636363636363637,40.0,65.0,0.6153846153846154,0.425,115.0,40.0,42.0,86.0,13.0,98.0
G      ,3293,2022,107,1,12/4/2022  ,12/3/2022     ,10,None            ,0.00                          ,0.00                              ,220.00                      ,220.00                ,23.0,0.0,8.0,17.0,8.0,8.0,2.0,2.0,20.0,22.0,5.0,3.0,0.0,2.0,2.0,27.0,5.0,0.0,0.0,53.0,0.0,2.0,0.0,6.0,21.0,14,Shunkah Mahneetu                             ,88.0,0.03773584905660377,27.0,32.0,0.84375,0.2222222222222222,31.0,33.0,24.0,42.0,10.0,36.0
G      ,3274,2021,107,1,1/16/2022  ,1/15/2022     ,21,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,33.0,0.0,6.0,30.0,3.0,13.0,2.0,3.0,18.0,29.0,2.0,8.0,3.0,2.0,2.0,27.0,2.0,0.0,0.0,54.0,15.0,0.0,18.0,17.0,122.0,14,Shunkah Mahneetu                             ,108.0,0.2777777777777778,31.0,29.0,1.0689655172413792,0.5483870967741935,39.0,46.0,23.0,65.0,6.0,37.0
G      ,2775,2020,107,1,12/8/2020  ,12/7/2020     ,12,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,28.0,0.0,9.0,23.0,2.0,11.0,1.0,3.0,20.0,23.0,5.0,13.0,4.0,2.0,2.0,36.0,5.0,52.0,1.0,53.0,18.0,0.0,20.0,21.0,182.0,14,Shunkah Mahneetu                             ,97.0,0.33962264150943394,28.0,41.0,0.6829268292682927,0.75,37.0,36.0,24.0,52.0,5.0,40.0
G      ,2586,2019,107,1,12/20/2019 ,12/19/2019    ,9,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,35.0,1.0,8.0,19.0,4.0,15.0,4.0,1.0,31.0,26.0,5.0,10.0,4.0,3.0,2.0,132.0,6.0,87.0,23.0,517.0,350.0,2.0,325.0,11.0,246.0,14,Shunkah Mahneetu                             ,118.0,0.6808510638297872,31.0,138.0,0.2246376811594203,0.3548387096774194,44.0,38.0,36.0,58.0,6.0,54.0
G      ,3678,2023,107,1,12/23/2023 ,12/22/2023    ,16,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,38.0,1.0,6.0,14.0,2.0,9.0,1.0,5.0,15.0,39.0,4.0,7.0,2.0,2.0,0.0,33.0,4.0,0.0,0.0,46.0,0.0,0.0,0.0,21.0,230.0,14,Shunkah Mahneetu                             ,91.0,0.0,43.0,37.0,1.162162162162162,0.4883720930232558,45.0,25.0,21.0,53.0,8.0,30.0
